id,area,dynamic,sleak,gleak,gt_pf,gt_pw,gt_area,gt_t,arch0,arch1,arch2,arch3,arch4,arch5,arch6,arch7,arch8,arch9,arch10,arch11,arch12,arch13,arch14,arch15,arch16,arch17,arch18,arch19,arch20,arch21,arch22,arch23,arch24,arch25,arch26,arch27,arch28
1,0.356746,0.223943,0.0196813,0.000340932,0.938878,0.026484,1499039.522,10202.02574,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0
2,0.356746,0.223943,0.0196813,0.000340932,0.90837,0.026484,1525471.555,10099.79639,0,0,0,0,2,0,0,2,0,0,2,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0
3,0.356746,0.223943,0.0196813,0.000340932,0.920778,0.026484,1489555.532,10640.76195,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0
4,0.314636,0.223862,0.0189237,0.000335535,0.919306,0.026484,1479795.533,10971.47687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0
5,0.314636,0.223862,0.0189237,0.000335535,0.941014,0.026484,1506227.5,10181.18764,0,0,0,0,2,0,0,2,0,0,2,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0
6,0.314636,0.223862,0.0189237,0.000335535,0.955313,0.02246,1540867.517,11476.87357,0,0,0,0,1,0,0,1,0,0,1,2,2,2,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0
7,0.409301,0.22407,0.0205652,0.000347416,0.919439,0.026484,1531103.507,11773.59009,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0
8,0.409301,0.22407,0.0205652,0.000347416,0.946113,0.026484,1557535.545,11809.68109,0,0,0,0,2,0,0,2,0,0,2,2,2,2,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0
9,0.409301,0.22407,0.0205652,0.000347416,0.972117,0.026484,1504903.536,11866.7572,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0
10,0.356734,0.223943,0.0196804,0.000340901,0.914298,0.026484,1495135.517,10848.26837,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0
11,0.356734,0.223943,0.0196804,0.000340901,0.930851,0.026484,1521567.528,10145.56576,0,0,0,0,2,0,0,2,0,0,2,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0
12,0.356734,0.223943,0.0196804,0.000340901,0.947328,0.026484,1485651.514,10947.30701,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0
13,0.314623,0.223862,0.0189228,0.000335504,0.952546,0.026484,1475891.487,10477.98041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0
14,0.314623,0.223862,0.0189228,0.000335504,0.955272,0.026484,1502323.541,10934.18703,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0
15,0.314623,0.223862,0.0189228,0.000335504,0.928789,0.02246,1536963.503,11353.06556,0,0,0,0,1,0,0,1,0,0,1,2,2,2,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0
16,0.409288,0.22407,0.0205644,0.000347385,0.919832,0.02246,1527199.529,11293.15359,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0
17,0.409288,0.22407,0.0205644,0.000347385,0.943164,0.026484,1553631.516,10403.15529,0,0,0,0,2,0,0,2,0,0,2,2,2,2,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0
18,0.409288,0.22407,0.0205644,0.000347385,0.916829,0.026484,1512711.506,10116.08255,0,0,0,0,1,0,0,1,0,0,1,1,1,1,2,1,1,1,1,1,1,0,1,0,1,0,0,0,0
19,0.35675,0.223943,0.0196819,0.000340939,0.918536,0.026484,1502943.524,10841.55132,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,1,1,1,0,1,0,1,0,0,0,0
20,0.35675,0.223943,0.0196819,0.000340939,0.906015,0.026484,1529375.518,10949.94965,0,0,0,0,2,0,0,2,0,0,2,1,1,1,2,1,1,1,1,1,1,0,1,0,1,0,0,0,0
21,0.35675,0.223943,0.0196819,0.000340939,0.930857,0.026484,1493459.53,11107.9363,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,1,1,1,1,1,1,0,1,0,1,0,0,0,0
22,0.31464,0.223862,0.0189243,0.000335542,0.958592,0.026484,1483699.528,11389.53097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,1,0,1,0,0,0,0
23,0.31464,0.223862,0.0189243,0.000335542,0.939729,0.026484,1510131.535,10407.8514,0,0,0,0,2,0,0,2,0,0,2,0,0,0,2,1,1,1,1,1,1,0,1,0,1,0,0,0,0
24,0.31464,0.223862,0.0189243,0.000335542,0.949587,0.026484,1544771.538,11102.93925,0,0,0,0,1,0,0,1,0,0,1,2,2,2,2,1,1,1,1,1,1,0,1,0,1,0,0,0,0
25,0.409304,0.22407,0.0205658,0.000347423,0.917945,0.026484,1535007.515,11000.50823,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,1,1,1,0,1,0,1,0,0,0,0
26,0.409304,0.22407,0.0205658,0.000347423,0.938382,0.023858,1561439.511,10909.42873,0,0,0,0,2,0,0,2,0,0,2,2,2,2,2,1,1,1,1,1,1,0,1,0,1,0,0,0,0
27,0.409304,0.22407,0.0205658,0.000347423,0.932775,0.026484,1516615.491,10232.94732,0,0,0,0,1,0,0,1,0,0,1,1,1,1,3,1,1,1,1,1,1,0,1,0,1,0,0,0,0
28,0.356753,0.223943,0.0196825,0.000340946,0.94247,0.026484,1506847.537,11549.32814,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1,1,1,1,1,0,1,0,1,0,0,0,0
29,0.356753,0.223943,0.0196825,0.000340946,0.93431,0.026484,1533279.501,11417.93342,0,0,0,0,2,0,0,2,0,0,2,1,1,1,3,1,1,1,1,1,1,0,1,0,1,0,0,0,0
30,0.356753,0.223943,0.0196825,0.000340946,0.902048,0.026484,1497363.532,11859.51283,0,0,0,0,1,0,0,1,0,0,1,0,0,0,3,1,1,1,1,1,1,0,1,0,1,0,0,0,0
31,0.314643,0.223862,0.0189249,0.000335549,0.958322,0.026484,1487603.514,10216.21486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,1,1,0,1,0,1,0,0,0,0
